,Length,price_clean,cluster
0,4.0,3337.0,0
1,4.0,3490.0,0
2,3.69,3770.0,0
3,3.0,25900.0,0
4,3.55,3399.0,0
5,4.03,3650.0,0
6,6.2,3600.0,0
7,3.0,24800.0,0
8,3.64,3333.0,0
9,4.35,3300.0,0
10,4.35,3500.0,0
11,4.13,3480.0,0
12,4.7,3500.0,0
13,4.4,4600.0,0
14,3.72,4500.0,0
15,3.88,4400.0,0
16,4.31,4380.0,0
17,4.0,30000.0,0
18,8.0,4000.0,0
19,6.37,4000.0,0
20,3.55,3999.0,0
21,3.78,4267.0,0
22,4.31,3930.0,0
23,5.6,3900.0,0
24,6.53,3900.0,0
25,5.7,4200.0,0
26,4.0,4200.0,0
27,3.55,4030.0,0
28,5.6,4000.0,0
29,4.01,3975.0,0
30,4.84,3950.0,0
31,5.05,3900.0,0
32,3.81,3890.0,0
33,3.55,3850.0,0
34,4.41,3800.0,0
35,6.2,3800.0,0
36,5.4,3800.0,0
37,3.93,3790.0,0
38,4.4,3500.0,0
39,4.0,3500.0,0
40,4.36,3500.0,0
42,4.3,5500.0,0
43,5.2,5500.0,0
44,4.4,5500.0,0
45,5.5,5500.0,0
46,5.85,5900.0,0
47,4.3,5450.0,0
48,4.45,5850.0,0
49,4.01,5399.0,0
50,4.3,39900.0,0
51,4.15,5700.0,0
52,4.5,5250.0,0
53,4.2,5200.0,0
54,4.05,5500.0,0
55,4.0,5500.0,0
56,4.51,7290.0,0
57,3.95,7200.0,0
58,5.0,49500.0,0
59,5.5,6590.0,0
60,6.28,6500.0,0
61,5.7,6500.0,0
62,5.0,6500.0,0
63,8.0,6500.0,0
64,4.5,6500.0,0
65,6.67,6500.0,0
66,4.75,6490.0,0
67,3.2,7000.0,0
68,7.26,7000.0,0
69,4.15,7000.0,0
70,5.2,7800.0,0
71,4.28,8300.0,0
73,6.16,8200.0,0
74,4.5,7640.0,0
75,4.45,8155.0,0
76,4.5,7500.0,0
77,8.5,7500.0,0
78,5.8,7500.0,0
79,5.7,7500.0,0
80,5.5,7500.0,0
81,6.4,7500.0,0
82,5.23,7500.0,0
83,5.8,7500.0,0
84,4.4,7500.0,0
85,4.4,8790.0,0
86,5.85,9400.0,0
87,5.0,8600.0,0
88,5.3,8600.0,0
89,4.8,9265.0,0
90,5.18,9200.0,0
91,5.53,8500.0,0
92,4.0,8500.0,0
93,5.0,8500.0,0
94,5.3,8500.0,0
95,5.74,8500.0,0
96,5.8,8500.0,0
97,3.1,8500.0,0
98,5.3,8500.0,0
99,7.9,8500.0,0
100,3.38,10500.0,0
101,8.5,9750.0,0
102,4.5,10500.0,0
103,10.28,10500.0,0
104,4.45,10450.0,0
105,5.5,9650.0,0
106,6.0,10400.0,0
107,5.65,9599.0,0
108,4.88,9575.0,0
109,4.51,10350.0,0
110,4.8,9553.0,0
111,8.4,9500.0,0
112,5.7,9500.0,0
113,6.8,9500.0,0
114,9.0,9500.0,0
115,3.99,9500.0,0
116,6.18,11000.0,0
117,7.0,11000.0,0
118,6.0,11000.0,0
119,4.43,10990.0,0
120,4.99,10115.0,0
121,4.5,10900.0,0
122,5.51,10900.0,0
123,8.5,10000.0,0
124,7.25,10000.0,0
125,5.9,10000.0,0
126,7.8,10000.0,0
127,12.0,10000.0,0
128,12.5,10000.0,0
129,7.15,10000.0,0
130,7.02,10000.0,0
131,7.02,10000.0,0
132,6.3,11000.0,0
133,4.9,11000.0,0
134,6.5,11000.0,0
135,7.03,11000.0,0
136,5.79,11000.0,0
137,5.2,11000.0,0
138,6.13,11000.0,0
139,7.8,11000.0,0
140,6.0,11000.0,0
141,7.4,11000.0,0
142,7.62,11000.0,0
143,5.07,10999.0,0
144,5.1,10999.0,0
145,5.2,10999.0,0
146,4.7,10990.0,0
147,6.7,10990.0,0
148,7.75,12000.0,0
149,6.43,12000.0,0
150,7.0,12000.0,0
151,6.5,12000.0,0
152,6.16,12000.0,0
153,7.2,12000.0,0
154,7.75,12000.0,0
155,4.6,11990.0,0
156,5.0,11990.0,0
157,5.3,12950.0,0
158,4.0,89000.0,0
159,4.0,89000.0,0
160,5.0,12900.0,0
161,4.5,12900.0,0
162,5.8,13888.0,0
163,4.8,12800.0,0
164,6.4,12800.0,0
165,4.9,12770.0,0
166,4.0,94990.0,0
167,5.7,12750.0,0
168,5.5,12680.0,0
169,4.24,13690.0,0
170,5.0,12500.0,0
171,8.5,12500.0,0
172,14.7,12500.0,0
173,5.6,12500.0,0
174,7.2,12500.0,0
175,6.12,12500.0,0
176,6.0,12500.0,0
177,5.1,14800.0,0
178,7.05,14800.0,0
179,5.0,13690.0,0
180,4.57,14700.0,0
181,5.7,13566.0,0
182,6.77,14500.0,0
183,5.95,13500.0,0
184,6.4,13500.0,0
185,6.16,13500.0,0
186,7.75,13500.0,0
187,7.0,13500.0,0
188,5.45,13500.0,0
189,8.8,13500.0,0
190,4.5,13500.0,0
191,6.5,13500.0,0
192,6.0,13500.0,0
193,3.0,14500.0,0
194,4.86,15619.0,0
195,5.76,15600.0,0
196,5.0,14400.0,0
197,4.9,14366.0,0
198,5.25,15500.0,0
199,4.52,15400.0,0
200,6.35,14200.0,0
201,5.68,14200.0,0
202,9.15,14000.0,0
203,6.42,14000.0,0
204,6.42,14000.0,0
205,5.6,14000.0,0
206,4.99,14000.0,0
207,7.16,14000.0,0
208,5.55,14950.0,0
209,4.7,14900.0,0
210,10.0,14900.0,0
211,5.55,14900.0,0
212,4.7,14900.0,0
213,8.25,14900.0,0
214,9.1,14900.0,0
215,7.9,14900.0,0
216,5.15,14900.0,0
217,5.3,14900.0,0
218,10.3,14900.0,0
219,5.55,14900.0,0
220,8.3,14900.0,0
221,5.0,14900.0,0
222,6.5,15500.0,0
223,5.53,15500.0,0
224,6.12,15500.0,0
225,6.5,15500.0,0
226,9.2,15500.0,0
227,9.5,15500.0,0
228,7.0,15500.0,0
229,5.5,15499.0,0
230,5.0,15490.0,0
231,5.48,15446.0,0
232,6.34,15446.0,0
233,6.0,15400.0,0
234,5.0,114500.0,0
236,4.54,16490.0,0
238,4.7,17684.0,0
239,5.48,16314.0,0
240,6.19,17500.0,0
241,4.54,16304.0,0
242,5.48,16220.0,0
243,5.48,16219.0,0
244,5.7,16200.0,0
245,5.15,16190.0,0
246,7.2,17500.0,0
247,6.4,17400.0,0
248,5.0,17400.0,0
249,4.0,119500.0,0
250,7.35,16000.0,0
251,6.45,16900.0,0
252,6.3,16900.0,0
253,8.53,16900.0,0
254,5.6,16900.0,0
255,8.04,16900.0,0
256,7.15,16900.0,0
257,7.15,16900.0,0
258,5.47,16900.0,0
259,4.8,16900.0,0
260,5.7,16900.0,0
261,5.01,18260.0,0
262,5.53,16870.0,0
263,5.83,18210.0,0
264,4.95,18200.0,0
265,6.5,18200.0,0
266,6.85,17500.0,0
267,6.22,17500.0,0
268,10.0,17500.0,0
269,22.0,17500.0,1
270,5.4,17500.0,0
271,5.0,17500.0,0
272,8.6,17500.0,0
273,7.0,17490.0,0
274,7.5,17490.0,0
275,5.0,18900.0,0
276,5.7,18900.0,0
277,8.5,17500.0,0
278,5.71,18900.0,0
279,6.5,18900.0,0
280,5.9,19500.0,0
281,5.4,19500.0,0
282,4.99,19500.0,0
283,6.5,18000.0,0
284,7.5,18000.0,0
285,6.53,18000.0,0
286,7.96,18000.0,0
287,6.2,18000.0,0
288,7.35,18000.0,0
289,6.21,18000.0,0
290,6.1,18000.0,0
291,8.0,18000.0,0
292,5.59,18000.0,0
293,7.06,18000.0,0
294,8.8,18000.0,0
295,7.26,18800.0,0
296,5.33,18800.0,0
297,6.15,18750.0,0
298,6.0,18700.0,0
299,6.5,18700.0,0
300,6.1,18690.0,0
301,7.62,20000.0,0
302,4.67,19990.0,0
303,7.22,19990.0,0
304,5.52,18620.0,0
305,7.0,18600.0,0
306,6.4,20100.0,0
307,5.0,19900.0,0
308,6.14,19900.0,0
309,4.0,137800.0,0
310,4.86,18515.0,0
311,8.2,19500.0,0
312,8.2,19500.0,0
313,6.1,19500.0,0
314,5.0,19500.0,0
315,8.95,19500.0,0
316,5.89,19490.0,0
317,5.95,21000.0,0
318,6.1,21000.0,0
319,4.99,20950.0,0
320,5.5,19301.0,0
321,5.1,19300.0,0
322,9.0,20800.0,0
323,6.12,19900.0,0
324,4.78,19900.0,0
325,9.0,19900.0,0
326,9.0,19900.0,0
327,7.5,19900.0,0
328,7.83,19900.0,0
329,6.16,19900.0,0
330,5.6,19900.0,0
331,4.95,19900.0,0
332,5.97,19900.0,0
333,6.97,19900.0,0
334,6.23,19900.0,0
335,8.15,19900.0,0
336,5.1,19900.0,0
337,5.7,19900.0,0
338,8.5,19900.0,0
339,5.75,20499.0,0
340,6.08,20490.0,0
341,5.3,22110.0,0
342,8.5,22000.0,0
343,7.63,22000.0,0
344,7.6,22000.0,0
345,8.12,22000.0,0
346,6.01,22000.0,0
347,6.77,22000.0,0
348,6.5,22000.0,0
349,5.13,21990.0,0
350,5.5,21740.0,0
351,7.8,21900.0,0
352,6.03,21900.0,0
353,6.03,21900.0,0
354,5.64,21396.0,0
355,5.64,21396.0,0
356,6.89,21300.0,0
357,6.6,23000.0,0
358,7.0,23000.0,0
359,4.75,23000.0,0
360,5.01,22900.0,0
361,5.5,22900.0,0
362,5.67,21090.0,0
363,6.45,21000.0,0
364,6.35,21000.0,0
365,8.0,21000.0,0
366,9.23,21000.0,0
367,5.03,21000.0,0
368,8.8,21000.0,0
369,6.47,21000.0,0
370,6.4,22000.0,0
371,6.4,22000.0,0
372,7.4,22000.0,0
373,6.0,22000.0,0
374,7.5,22000.0,0
375,10.45,22000.0,0
376,9.5,22000.0,0
377,7.5,22000.0,0
378,7.0,22000.0,0
379,5.2,22000.0,0
380,6.65,22000.0,0
381,10.8,22000.0,0
382,6.83,22000.0,0
383,5.02,21999.0,0
384,10.0,21990.0,0
385,5.47,22880.0,0
386,5.65,22850.0,0
387,5.0,169800.0,0
388,5.28,22800.0,0
389,5.18,22772.0,0
390,6.74,22770.0,0
391,5.79,22765.0,0
392,5.79,22764.0,0
393,5.0,169000.0,0
394,7.15,22700.0,0
395,5.42,22680.0,0
396,7.28,24500.0,0
397,9.3,24500.0,0
398,6.19,24500.0,0
399,6.25,22520.0,0
400,6.06,23640.0,0
401,5.78,25500.0,0
402,4.54,23530.0,0
403,7.05,23500.0,0
404,9.3,23500.0,0
405,8.66,25000.0,0
406,7.85,25000.0,0
407,8.35,25000.0,0
408,6.0,25000.0,0
409,6.6,25000.0,0
410,5.6,23290.0,0
411,9.25,24900.0,0
412,6.37,25000.0,0
413,5.8,26000.0,0
414,7.3,25990.0,0
415,5.73,24170.0,0
416,5.25,179000.0,0
417,6.0,179000.0,0
418,7.5,26000.0,0
419,7.55,26000.0,0
420,5.3,25950.0,0
421,7.2,24000.0,0
422,7.68,24000.0,0
423,7.49,24000.0,0
424,7.5,24000.0,0
425,7.26,24000.0,0
426,6.94,24000.0,0
427,5.65,24000.0,0
428,7.5,24000.0,0
429,7.25,24900.0,0
430,8.0,24900.0,0
431,7.6,24900.0,0
432,6.1,24900.0,0
433,6.5,24900.0,0
434,6.05,24900.0,0
435,8.61,24900.0,0
436,5.0,24900.0,0
437,6.5,24900.0,0
438,9.5,24900.0,0
439,8.9,24900.0,0
440,6.0,24900.0,0
441,7.39,24900.0,0
442,7.07,24900.0,0
443,6.05,24900.0,0
444,8.44,24900.0,0
445,7.5,25000.0,0
446,6.66,25000.0,0
447,6.0,25000.0,0
448,7.8,25000.0,0
449,8.22,25000.0,0
450,6.4,25000.0,0
451,7.45,25000.0,0
452,9.81,25000.0,0
453,7.5,25000.0,0
454,6.7,25000.0,0
455,2.85,25000.0,0
456,6.5,25000.0,0
457,7.62,25000.0,0
458,7.65,25000.0,0
459,7.38,25000.0,0
460,10.6,25000.0,0
461,6.1,28000.0,0
462,8.05,28000.0,0
463,5.3,25900.0,0
464,6.43,25900.0,0
465,8.05,25900.0,0
466,7.49,25900.0,0
467,7.14,25900.0,0
468,4.89,25900.0,0
469,6.0,25900.0,0
470,9.9,25900.0,0
471,8.26,25900.0,0
472,6.7,25900.0,0
473,10.3,25900.0,0
474,6.77,25900.0,0
475,8.26,25900.0,0
476,7.6,25900.0,0
477,6.6,26800.0,0
478,6.82,199000.0,0
479,5.1,28900.0,0
480,4.98,28900.0,0
481,2.32,28900.0,0
482,5.0,28900.0,0
483,8.1,28900.0,0
484,6.5,26700.0,0
485,6.48,26700.0,0
486,6.5,26700.0,0
487,6.1,26620.0,0
488,6.15,28500.0,0
489,5.3,28700.0,0
490,6.59,26537.0,0
491,6.77,26537.0,0
492,6.42,27300.0,0
493,4.6,29500.0,0
494,5.47,29500.0,0
495,8.43,29500.0,0
496,9.1,29500.0,0
497,6.3,29500.0,0
498,5.95,27284.0,0
499,5.95,27284.0,0
500,6.12,27236.0,0
501,5.07,27120.0,0
502,5.97,27118.0,0
503,6.28,29200.0,0
504,9.8,27000.0,0
505,9.5,27000.0,0
506,9.75,27000.0,0
507,6.6,27925.0,0
508,7.52,27900.0,0
509,6.08,27900.0,0
510,5.99,27900.0,0
511,6.5,27900.0,0
512,6.05,27900.0,0
513,6.25,27900.0,0
514,8.25,27900.0,0
515,8.78,27900.0,0
516,9.1,27900.0,0
517,7.05,27900.0,0
518,7.05,27900.0,0
519,5.7,29900.0,0
520,7.75,29900.0,0
521,6.9,27800.0,0
522,6.1,31000.0,0
523,5.3,30900.0,0
524,5.0,30900.0,0
525,6.43,28546.0,0
526,7.65,28500.0,0
527,8.25,28500.0,0
528,8.69,28500.0,0
529,9.2,28500.0,0
530,5.8,28500.0,0
531,6.5,28500.0,0
532,9.0,28500.0,0
533,5.38,28500.0,0
534,7.2,28500.0,0
535,8.83,28500.0,0
536,6.75,29000.0,0
537,7.0,29000.0,0
538,7.05,29000.0,0
539,7.4,29000.0,0
540,11.0,29000.0,0
541,6.86,29000.0,0
542,10.72,29000.0,0
543,8.05,29000.0,0
544,7.57,29000.0,0
545,9.2,29000.0,0
546,8.77,29000.0,0
547,10.0,29000.0,0
548,7.9,29000.0,0
549,7.01,29000.0,0
550,7.23,29000.0,0
551,7.77,29000.0,0
552,8.0,29900.0,0
553,7.85,29900.0,0
554,6.96,29900.0,0
555,9.1,29900.0,0
556,8.23,29900.0,0
558,5.6,29800.0,0
559,5.21,29800.0,0
560,6.26,29800.0,0
561,9.4,29750.0,0
562,5.07,29650.0,0
563,5.65,32000.0,0
564,8.75,220000.0,0
565,7.5,29500.0,0
566,7.5,30000.0,0
567,9.5,30000.0,0
568,8.01,30000.0,0
569,8.13,30000.0,0
570,7.8,30000.0,0
571,10.0,30000.0,0
572,7.0,30000.0,0
573,9.4,30000.0,0
574,9.0,30000.0,0
575,5.87,30000.0,0
576,7.8,30000.0,0
577,10.2,30000.0,0
578,11.9,30000.0,0
